carat,cut,color,clarity,depth,table,x,y,z,price
1.26,Ideal,J,VS2,63.2,57.0,6.86,6.81,4.32,5306
1.07,Ideal,F,SI1,60.6,57.0,6.62,6.67,1.07,5909
1.02,Very Good,I,VS2,59.3,59.0,6.56,6.6,3.9,4532
1.52,Premium,J,VS1,62.2,59.0,7.32,7.38,4.57,8426
0.5,Ideal,J,VS1,61.4,58.0,5.14,5.09,3.15,1134
0.23,Very Good,F,VVS2,63.3,57.0,3.91,3.93,2.48,505
0.3,Ideal,G,VS1,61.9,56.0,4.34,4.29,2.67,776
1.06,Very Good,G,VS1,60.5,56.0,6.65,6.6,4.01,6707
1.18,Ideal,E,VS1,62.4,54.0,6.74,6.79,4.22,9709
0.41,Ideal,E,SI1,62.5,55.0,4.73,4.77,2.97,755
0.79,Ideal,E,VS2,62.2,55.0,5.97,5.9,3.69,3861
0.7,Very Good,G,SI2,58.2,63.0,5.82,5.79,3.38,1966
0.53,Ideal,F,VS1,62.2,55.0,5.17,5.22,3.23,1812
1.07,Ideal,J,VS2,61.6,56.3,6.55,6.59,4.04,4602
0.3,Ideal,H,IF,61.5,56.0,4.34,4.31,2.66,1013
0.9,Premium,G,VS1,62.7,58.0,6.15,6.06,3.83,4579
1.53,Premium,I,SI2,62.7,62.0,7.41,7.23,4.59,7389
0.3,Ideal,E,VS2,61.8,56.0,4.32,4.29,2.66,844
1.0,Good,H,SI2,,58.0,6.31,6.33,3.96,4125
0.36,Ideal,D,SI2,62.0,56.0,4.6,4.56,2.84,689
1.0,Very Good,H,VS2,64.7,56.0,6.23,6.29,4.05,5883
0.24,Very Good,E,VVS1,60.6,59.0,4.0,4.02,2.43,521
0.36,Good,H,VS2,63.7,55.0,4.52,4.49,2.87,729
0.31,Very Good,F,VS2,62.8,57.0,4.34,4.36,2.73,625
0.7,Premium,G,VS1,61.4,59.0,5.74,5.59,3.51,2535
0.81,Premium,E,VS2,61.5,58.0,5.99,5.94,3.97,3674
0.52,Ideal,D,VS2,62.0,53.0,5.17,5.21,3.22,1701
0.31,Ideal,I,VS2,62.1,54.0,4.35,4.38,2.71,452
0.73,Premium,G,VS1,61.4,58.0,5.82,5.77,3.56,2841
2.07,Premium,F,SI2,60.7,59.0,8.21,8.16,4.97,18611
0.5,Premium,G,I1,62.2,59.0,5.07,5.03,3.14,1020
0.88,Ideal,E,SI2,62.2,57.0,6.08,6.2,3.82,3329
0.5,Very Good,E,SI2,62.4,57.0,5.03,5.07,3.15,1154
1.04,Ideal,G,SI2,61.9,58.0,6.47,6.51,4.02,4973
2.0,Very Good,H,SI1,60.1,61.0,8.1,8.13,4.88,15840
0.4,Very Good,E,VVS1,63.8,56.0,4.68,4.72,3.0,1142
0.59,Ideal,F,VS1,61.1,56.0,5.43,5.47,3.33,2140
0.34,Ideal,E,SI1,61.0,57.0,4.48,4.51,2.74,596
0.7,Good,H,VVS2,61.4,64.0,5.73,5.61,3.48,2475
1.57,Fair,H,VS1,67.3,66.0,7.85,5.75,3.87,8133
0.24,Ideal,I,VVS2,61.5,56.0,4.02,4.05,2.48,523
0.35,Very Good,G,VS1,61.5,60.0,4.51,4.57,2.79,676
0.9,Very Good,F,SI2,61.1,54.0,6.27,6.29,3.84,3519
0.57,Very Good,E,SI1,60.3,57.0,5.34,5.4,3.24,1608
1.91,Fair,H,SI2,64.6,56.0,7.76,7.7,4.99,6632
2.03,Ideal,H,SI1,60.8,57.0,8.24,8.18,4.99,18026
0.32,Ideal,D,VS2,61.3,56.0,4.41,4.37,2.69,972
0.44,Very Good,E,SI1,62.9,58.0,4.85,4.88,3.06,810
0.41,Ideal,F,VVS1,61.9,56.0,4.79,4.77,2.96,1356
1.7,Very Good,I,VS1,60.6,59.0,7.64,7.67,4.64,11514
0.49,Fair,E,VVS2,65.5,58.0,4.91,4.86,3.2,1705
0.39,Ideal,I,VVS2,62.3,54.0,4.66,4.69,2.91,787
1.01,Premium,G,SI1,59.8,58.0,6.54,6.58,3.92,4719
0.41,Premium,E,SI2,62.1,58.0,4.73,4.77,2.95,683
0.27,Very Good,E,VVS2,61.2,60.0,4.16,4.17,2.55,606
0.4,Ideal,E,VS1,,58.0,4.72,4.74,2.94,951
0.32,Very Good,I,SI1,62.4,58.0,4.42,4.46,2.77,388
0.72,Ideal,F,SI2,61.2,54.0,5.81,5.86,3.57,2422
0.4,Good,E,SI1,63.9,58.0,4.67,4.63,2.97,882
0.52,Very Good,D,SI1,63.8,56.0,5.06,5.1,3.24,1452
0.33,Premium,G,VS1,61.6,57.0,4.51,4.42,2.75,797
0.96,Premium,D,SI2,60.0,61.0,6.36,6.32,3.81,4274
0.55,Very Good,E,VS2,62.3,61.0,5.16,5.21,3.23,1669
0.26,Premium,H,VVS1,59.8,59.0,4.17,4.12,2.48,600
1.54,Ideal,G,SI1,61.5,55.0,7.4,7.45,4.57,11333
0.33,Ideal,G,IF,61.7,55.0,4.47,4.48,2.76,946
